,index,mu_driver_birth,s_driver_birth
551,00000113b,1e-05,0.05
552,00000113bb,1e-05,0.05
553,00000114b,1e-05,0.05
554,00000114bb,1e-05,0.05
555,00000115b,1e-05,0.05
556,00000115bb,1e-05,0.05
557,00000116b,1e-05,0.05
558,00000116bb,1e-05,0.05
559,00000117b,1e-05,0.05
560,00000117bb,1e-05,0.05
561,00000118b,1e-05,0.05
562,00000118bb,1e-05,0.05
563,00000119b,1e-05,0.05
564,00000119bb,1e-05,0.05
565,0000011bb,1e-05,0.05
566,0000011bbb,1e-05,0.05
567,0000011Bb,1e-05,0.05
568,0000011Bbb,1e-05,0.05
569,0000011Cb,1e-05,0.05
570,0000011Cbb,1e-05,0.05
571,0000011Db,1e-05,0.05
572,0000011Dbb,1e-05,0.05
573,0000011Eb,1e-05,0.05
574,0000011Ebb,1e-05,0.05
575,0000011Fb,1e-05,0.05
576,0000011Fbb,1e-05,0.05
577,00000120b,1e-05,0.05
578,00000120bb,1e-05,0.05
579,00000121b,1e-05,0.05
580,00000121bb,1e-05,0.05
581,00000122b,1e-05,0.05
582,00000122bb,1e-05,0.05
583,00000123b,1e-05,0.05
584,00000123bb,1e-05,0.05
585,00000124b,1e-05,0.05
586,00000124bb,1e-05,0.05
587,00000125b,1e-05,0.05
588,00000125bb,1e-05,0.05
589,00000126b,1e-05,0.05
590,00000126bb,1e-05,0.05
591,00000127b,1e-05,0.05
592,00000127bb,1e-05,0.05
593,00000128b,1e-05,0.05
594,00000128bb,1e-05,0.05
595,00000129b,1e-05,0.05
596,00000129bb,1e-05,0.05
597,0000012bb,1e-05,0.05
598,0000012bbb,1e-05,0.05
599,0000012Bb,1e-05,0.05
600,0000012Bbb,1e-05,0.05
601,0000012Cb,1e-05,0.05
602,0000012Cbb,1e-05,0.05
603,0000012Db,1e-05,0.05
604,0000012Dbb,1e-05,0.05
605,0000012Eb,1e-05,0.05
606,0000012Ebb,1e-05,0.05
607,0000012Fb,1e-05,0.05
608,0000012Fbb,1e-05,0.05
609,00000130b,1e-05,0.05
610,00000130bb,1e-05,0.05
611,00000131b,1e-05,0.05
612,00000131bb,1e-05,0.05
613,00000132b,1e-05,0.05
614,00000132bb,1e-05,0.05
615,00000133b,1e-05,0.05
616,00000133bb,1e-05,0.05
617,00000134b,1e-05,0.05
618,00000134bb,1e-05,0.05
619,00000135b,1e-05,0.05
620,00000135bb,1e-05,0.05
621,00000136b,1e-05,0.05
622,00000136bb,1e-05,0.05
623,00000137b,1e-05,0.05
624,00000137bb,1e-05,0.05
625,00000138b,1e-05,0.05
626,00000138bb,1e-05,0.05
627,00000139b,1e-05,0.05
628,00000139bb,1e-05,0.05
629,0000013bb,1e-05,0.05
630,0000013bbb,1e-05,0.05
631,0000013Bb,1e-05,0.05
632,0000013Bbb,1e-05,0.05
633,0000013Cb,1e-05,0.05
634,0000013Cbb,1e-05,0.05
635,0000013Db,1e-05,0.05
636,0000013Dbb,1e-05,0.05
637,0000013Eb,1e-05,0.05
638,0000013Ebb,1e-05,0.05
639,0000013Fb,1e-05,0.05
640,0000013Fbb,1e-05,0.05
641,00000140b,1e-05,0.05
642,00000140bb,1e-05,0.05
643,00000141b,1e-05,0.05
644,00000141bb,1e-05,0.05
645,00000142b,1e-05,0.05
646,00000142bb,1e-05,0.05
647,00000143b,1e-05,0.05
648,00000143bb,1e-05,0.05
649,00000144b,1e-05,0.05
650,00000144bb,1e-05,0.05
651,00000145b,1e-05,0.05
652,00000145bb,1e-05,0.05
653,00000146b,1e-05,0.05
654,00000146bb,1e-05,0.05
655,00000147b,1e-05,0.05
656,00000147bb,1e-05,0.05
657,00000148b,1e-05,0.05
658,00000148bb,1e-05,0.05
659,00000149b,1e-05,0.05
660,00000149bb,1e-05,0.05
661,0000014bb,1e-05,0.05
662,0000014bbb,1e-05,0.05
663,0000014Bb,1e-05,0.05
664,0000014Bbb,1e-05,0.05
665,0000014Cb,1e-05,0.05
666,0000014Cbb,1e-05,0.05
667,0000014Db,1e-05,0.05
668,0000014Dbb,1e-05,0.05
669,0000014Eb,1e-05,0.05
670,0000014Ebb,1e-05,0.05
671,0000014Fb,1e-05,0.05
672,0000014Fbb,1e-05,0.05
673,00000150b,1e-05,0.05
674,00000150bb,1e-05,0.05
675,00000151b,1e-05,0.05
676,00000151bb,1e-05,0.05
677,00000152b,1e-05,0.05
678,00000152bb,1e-05,0.05
679,00000153b,1e-05,0.05
680,00000153bb,1e-05,0.05
681,00000154b,1e-05,0.05
682,00000154bb,1e-05,0.05
683,00000155b,1e-05,0.05
684,00000155bb,1e-05,0.05
685,00000156b,1e-05,0.05
686,00000156bb,1e-05,0.05
687,00000157b,1e-05,0.05
688,00000157bb,1e-05,0.05
689,00000158b,1e-05,0.05
690,00000158bb,1e-05,0.05
691,00000159b,1e-05,0.05
692,00000159bb,1e-05,0.05
693,0000015bb,1e-05,0.05
694,0000015bbb,1e-05,0.05
695,0000015Bb,1e-05,0.05
696,0000015Bbb,1e-05,0.05
697,0000015Cb,1e-05,0.05
698,0000015Cbb,1e-05,0.05
699,0000015Db,1e-05,0.05
700,0000015Dbb,1e-05,0.05
701,0000015Eb,1e-05,0.05
702,0000015Ebb,1e-05,0.05
703,0000015Fb,1e-05,0.05
704,0000015Fbb,1e-05,0.05
705,00000160b,1e-05,0.05
706,00000160bb,1e-05,0.05
707,00000161b,1e-05,0.05
708,00000161bb,1e-05,0.05
709,00000162b,1e-05,0.05
710,00000162bb,1e-05,0.05
711,00000163b,1e-05,0.05
712,00000163bb,1e-05,0.05
713,00000164b,1e-05,0.05
714,00000164bb,1e-05,0.05
715,00000165b,1e-05,0.05
716,00000165bb,1e-05,0.05
717,00000166b,1e-05,0.05
718,00000166bb,1e-05,0.05
719,00000167b,1e-05,0.05
720,00000167bb,1e-05,0.05
721,00000168b,1e-05,0.05
722,00000168bb,1e-05,0.05
723,00000169b,1e-05,0.05
724,00000169bb,1e-05,0.05
725,0000016bb,1e-05,0.05
726,0000016bbb,1e-05,0.05
727,0000016Bb,1e-05,0.05
728,0000016Bbb,1e-05,0.05
729,0000016Cb,1e-05,0.05
730,0000016Cbb,1e-05,0.05
731,0000016Db,1e-05,0.05
732,0000016Dbb,1e-05,0.05
733,0000016Eb,1e-05,0.05
734,0000016Ebb,1e-05,0.05
735,0000016Fb,1e-05,0.05
736,0000016Fbb,1e-05,0.05
737,00000170b,1e-05,0.05
738,00000170bb,1e-05,0.05
739,00000171b,1e-05,0.05
740,00000171bb,1e-05,0.05
741,00000172b,1e-05,0.05
742,00000172bb,1e-05,0.05
743,00000173b,1e-05,0.05
744,00000173bb,1e-05,0.05
745,00000174b,1e-05,0.05
746,00000174bb,1e-05,0.05
747,00000175b,1e-05,0.05
748,00000175bb,1e-05,0.05
749,00000176b,1e-05,0.05
750,00000176bb,1e-05,0.05
751,00000177b,1e-05,0.05
752,00000177bb,1e-05,0.05
753,00000178b,1e-05,0.05
754,00000178bb,1e-05,0.05
755,00000179b,1e-05,0.05
756,00000179bb,1e-05,0.05
757,0000017bb,1e-05,0.05
758,0000017bbb,1e-05,0.05
759,0000017Bb,1e-05,0.05
760,0000017Bbb,1e-05,0.05
761,0000017Cb,1e-05,0.05
762,0000017Cbb,1e-05,0.05
763,0000017Db,1e-05,0.05
764,0000017Dbb,1e-05,0.05
765,0000017Eb,1e-05,0.05
766,0000017Ebb,1e-05,0.05
767,0000017Fb,1e-05,0.05
768,0000017Fbb,1e-05,0.05
769,00000180b,1e-05,0.05
770,00000180bb,1e-05,0.05
771,00000181b,1e-05,0.05
772,00000181bb,1e-05,0.05
773,00000182b,1e-05,0.05
774,00000182bb,1e-05,0.05
775,00000183b,1e-05,0.05
776,00000183bb,1e-05,0.05
777,00000184b,1e-05,0.05
778,00000184bb,1e-05,0.05
779,00000185b,1e-05,0.05
780,00000185bb,1e-05,0.05
781,00000186b,1e-05,0.05
782,00000186bb,1e-05,0.05
783,00000187b,1e-05,0.05
784,00000187bb,1e-05,0.05
785,00000188b,1e-05,0.05
786,00000188bb,1e-05,0.05
787,00000189b,1e-05,0.05
788,00000189bb,1e-05,0.05
789,0000018bb,1e-05,0.05
790,0000018bbb,1e-05,0.05
791,0000018Bb,1e-05,0.05
792,0000018Bbb,1e-05,0.05
793,0000018Cb,1e-05,0.05
794,0000018Cbb,1e-05,0.05
795,0000018Db,1e-05,0.05
796,0000018Dbb,1e-05,0.05
797,0000018Eb,1e-05,0.05
798,0000018Ebb,1e-05,0.05
799,0000018Fb,1e-05,0.05
800,0000018Fbb,1e-05,0.05
801,00000190b,1e-05,0.05
802,00000190bb,1e-05,0.05
803,00000191b,1e-05,0.05
