,id,speed_early,speed_late
2648,00000A57,1.535635918,1.575810604
2649,00000A58,1.503954236,1.569513244
2650,00000A59,1.517406384,1.564215465
2651,00000A5A,1.463442967,1.479136645
2652,00000A5B,1.420048617,1.472641888
2653,00000A5C,1.52343948,1.495361816
2654,00000A5D,1.466744326,1.489232671
2655,00000A5E,1.451185993,1.511102865
2656,00000A5F,1.467031429,1.480318645
2657,00000A60,1.453161605,1.478448547
2658,00000A61,1.437946437,1.478951761
2659,00000A62,1.471194408,1.476524678
2660,00000A63,1.465196224,1.466855787
2661,00000A64,1.369865724,1.384780572
2662,00000A65,1.340274141,1.3922394
2663,00000A66,1.373163574,1.394015963
2664,00000A67,1.349211455,1.393881273
2665,00000A68,1.388789468,1.401055541
2666,00000A69,1.387044471,1.384448552
2667,00000A6A,1.382503898,1.400195188
2668,00000A6B,1.380372481,1.399624182
2669,00000A6C,1.346744465,1.391149955
2670,00000A6D,1.390074706,1.400244522
2671,00000A6E,1.306083038,1.307439349
2672,00000A6F,1.286557718,1.32918166
2673,00000A70,1.332885927,1.316122761
2674,00000A71,1.311263313,1.325924404
2675,00000A72,1.34300683,1.309260301
2676,00000A73,1.308142713,1.326415058
2677,00000A74,1.294955382,1.306561435
2678,00000A75,1.274635696,1.335666151
2679,00000A76,1.285840113,1.322471239
2680,00000A77,1.276151535,1.325979785
2681,00000A78,1.201026268,1.22465517
2682,00000A79,1.219170833,1.232353956
2683,00000A7A,1.210833375,1.221384906
2684,00000A7B,1.205927424,1.22900912
2685,00000A7C,1.16969697,1.216593713
2686,00000A7D,1.220464101,1.224241597
2687,00000A7E,1.220141976,1.229153819
2688,00000A7F,1.199587845,1.236120312
2689,00000A80,1.245781662,1.23734174
2690,00000A81,1.256601698,1.238165996
2691,00000A82,1.193932637,1.142191252
2692,00000A83,1.117916224,1.145470135
2693,00000A84,1.151704515,1.143961788
2694,00000A85,1.1217361,1.153864233
2695,00000A86,1.123111695,1.156893152
2696,00000A87,1.125166184,1.143803833
2697,00000A88,1.138625024,1.152224664
2698,00000A89,1.095527462,1.142552267
2699,00000A8A,1.151670125,1.15297701
2700,00000A8B,1.113744558,1.14756672
2701,00000A8C,1.038450816,1.064931899
2702,00000A8D,1.078008559,1.059442657
2703,00000A8E,1.056448223,1.059105943
2704,00000A8F,1.080619589,1.058049832
2705,00000A90,1.047865525,1.077569696
2706,00000A91,1.023301226,1.067213118
2707,00000A92,1.0600483,1.063633943
2708,00000A93,1.027884121,1.063894539
2709,00000A94,1.037269453,1.067052767
2710,00000A95,1.058063424,1.069253464
2711,00000A96,0.963416838,0.98554239
2712,00000A97,0.95630721,0.965629044
2713,00000A98,0.999880979,0.98250918
2714,00000A99,0.956016296,0.986644737
2715,00000A9A,0.957382469,0.995375277
2716,00000A9B,0.953605589,0.974110887
2717,00000A9C,0.985077915,0.971084733
2718,00000A9D,0.971985734,0.984211931
2719,00000A9E,0.9657513,0.983492229
2720,00000A9F,0.965753268,0.974243902
2721,00000AA0,0.874471242,0.897121134
2722,00000AA1,0.89971254,0.896251504
2723,00000AA2,0.905803676,0.919435139
2724,00000AA3,0.907350074,0.90615643
2725,00000AA4,0.88828196,0.906249846
2726,00000AA5,0.869121628,0.889724917
2727,00000AA6,0.886127501,0.893980782
2728,00000AA7,0.869586673,0.893391238
2729,00000AA8,0.863730979,0.881391448
2730,00000AA9,0.896867551,0.890485771
2731,00000AAA,0.776742267,0.823056871
2732,00000AAB,0.802938873,0.812443579
2733,00000AAC,0.792534457,0.802391667
2734,00000AAD,0.803238883,0.802525856
2735,00000AAE,0.801437747,0.816095685
2736,00000AAF,0.79814148,0.808972873
2737,00000AB0,0.805305237,0.810467743
2738,00000AB1,0.782754871,0.813780353
2739,00000AB2,0.809111754,0.808265403
2740,00000AB3,0.793071821,0.811685371
2741,00000AB4,0.700728307,0.729990548
2742,00000AB5,0.740968946,0.728127365
2743,00000AB6,0.705046649,0.714478373
2744,00000AB7,0.700066992,0.721398818
2745,00000AB8,0.735288928,0.732173737
2746,00000AB9,0.705983475,0.726678879
2747,00000ABA,0.691217204,0.726276335
2748,00000ABB,0.701269907,0.720774387
2749,00000ABC,0.713433397,0.731135718
